Route,SubRegion,Total,Note
002,Vancouver/UBC,328200,
003,Vancouver/UBC,403500,
004,Vancouver/UBC,172700,
005,Vancouver/UBC,223000,
006,Vancouver/UBC,205300,
007,Vancouver/UBC,297700,
008,Vancouver/UBC,364100,
009,Vancouver/UBC,459500,
010,Vancouver/UBC,291600,
014,Vancouver/UBC,266000,
015,Vancouver/UBC,89900,
016,Vancouver/UBC,491700,
017,Vancouver/UBC,203300,
019,Vancouver/UBC,411400,
020,Vancouver/UBC,536800,
022,Vancouver/UBC,290200,
023,Vancouver/UBC,107700,
025,Vancouver/UBC,516600,
026,Vancouver/UBC,101400,
027,Vancouver/UBC,108400,
028,Burnaby/New Westminster,152000,
029,Vancouver/UBC,48000,
031,Vancouver/UBC,15500,
033,Vancouver/UBC,157300,
041,Vancouver/UBC,171600,
049,Vancouver/UBC,643500,
050,Vancouver/UBC,80100,
068,Vancouver/UBC,12100,
084,Vancouver/UBC,157000,
099,Vancouver/UBC,1084800,
100,Vancouver/UBC,354600,
101,Burnaby/New Westminster,84600,
103,Burnaby/New Westminster,43300,
104,Southeast,90400,
105,Burnaby/New Westminster,24600,
106,Burnaby/New Westminster,297800,
109,Burnaby/New Westminster,10000,
110,Burnaby/New Westminster,92500,
112,Burnaby/New Westminster,101400,
116,Burnaby/New Westminster,106000,
119,Burnaby/New Westminster,223600,
123,Burnaby/New Westminster,208900,
128,Burnaby/New Westminster,70200,
129,Burnaby/New Westminster,90800,
130,Burnaby/New Westminster,225200,
131,Burnaby/New Westminster,3500,
132,Burnaby/New Westminster,3400,
133,Burnaby/New Westminster,69700,
134,Burnaby/New Westminster,35000,
136,Burnaby/New Westminster,38800,
144,Burnaby/New Westminster,107400,
145,Burnaby/New Westminster,50300,
146,Burnaby/New Westminster,10300,
147,Burnaby/New Westminster,37200,
148,Burnaby/New Westminster,28700,
151,Northeast Sector,34100,
152,Northeast Sector,79900,
153,Northeast Sector,61800,
155,Burnaby/New Westminster,62900,
156,Northeast Sector,58600,
157,Northeast Sector,39200,
159,Northeast Sector,79500,
160,Northeast Sector,126500,
169,Northeast Sector,32800,
170,Northeast Sector,11400,
171,Northeast Sector,20900,
172,Northeast Sector,26300,
173,Northeast Sector,20800,
174,Northeast Sector,15800,
175,Northeast Sector,7100,
180,Northeast Sector,66500,
181,Northeast Sector,5000,
182,Northeast Sector,8600,
183,Northeast Sector,44700,
184,Northeast Sector,8300,
185,Northeast Sector,11000,
186,Northeast Sector,20800,
187,Northeast Sector,25100,
188,Northeast Sector,61000,
189,Northeast Sector,9100,
191,Northeast Sector,20800,
209,North Shore,10300,
210,North Shore,75300,
211,North Shore,43800,
212,North Shore,21800,
214,North Shore,,Route excluded due to poor data quality
215,North Shore,17300,
222,North Shore,40700,
227,North Shore,6400,
228,North Shore,48200,
229,North Shore,65600,
230,North Shore,58600,
231,North Shore,1900,
232,North Shore,67400,
236,North Shore,30800,
240,North Shore,277200,
241,North Shore,17300,
245,North Shore,18000,
246,North Shore,53600,
247,North Shore,2800,
249,North Shore,27200,
250,North Shore,224600,
251,North Shore,9000,
252,North Shore,6200,
253,North Shore,25200,
254,North Shore,19300,
255,North Shore,89700,
256,North Shore,10200,
257,North Shore,97200,
262,North Shore,3300,
280,North Shore,,Route excluded due to poor data quality
281,North Shore,,Route excluded due to poor data quality
282,North Shore,,Route excluded due to poor data quality
301,Southwest,127300,
310,Southeast,33300,
311,Southeast,13000,
312,Southeast,71300,
314,Southeast,46800,
316,Southeast,68500,
319,Southeast,598500,
320,Southeast,178300,
321,Southeast,267900,
322,Southeast,47900,
323,Southeast,251600,
324,Southeast,109600,
325,Southeast,96200,
326,Southeast,37500,
329,Southeast,15100,
335,Southeast,242600,
337,Southeast,59000,
340,Southeast,96100,
341,Southeast,78300,
342,Southeast,106900,
345,Southeast,69300,
350,Southeast,18600,
351,Southeast,102600,
352,Southeast,7300,
354,Southeast,7800,
360,Southeast,6900,
361,Southeast,9600,
362,Southeast,5800,
363,Southeast,21600,
364,Southeast,116600,
370,Southeast,,Route excluded due to poor data quality
371,Southeast,18700,
372,Southeast,,Route excluded due to poor data quality
373,Southeast,51400,
375,Southeast,81800,
388,Southeast,37700,
391,Southeast,7600,
393,Southeast,11900,
394,Southeast,7700,
395,Southeast,9900,
401,Southwest,104000,
402,Southwest,56900,
403,Southwest,141500,
404,Southwest,25300,
405,Southwest,56000,
406,Southwest,118200,
407,Southwest,88300,
408,Southwest,110900,
410,Southwest,322700,
412,Southwest,8400,
413,Southwest,9000,
414,Southwest,3100,
416,Southwest,4500,
418,Southwest,20300,
430,Southwest,173500,
501,Southeast,138700,
502,Southeast,159000,
503,Southeast,208100,
509,Southeast,6400,
531,Southeast,71300,
555,Southeast,78600,
560,Southeast,,Route excluded due to poor data quality
561,Southeast,,Route excluded due to poor data quality
562,Southeast,,Route excluded due to poor data quality
563,Southeast,,Route excluded due to poor data quality
564,Southeast,,Route excluded due to poor data quality
595,Southeast,46700,
601,Southwest,101200,
602,Southwest,5200,
603,Southwest,2600,
604,Southwest,2400,
606,Southwest,,Route excluded due to poor data quality
608,Southwest,,Route excluded due to poor data quality
609,Southwest,1600,
614,Southwest,1200,
616,Southwest,2500,
617,Southwest,,Route excluded due to poor data quality
618,Southwest,,Route excluded due to poor data quality
619,Southwest,,Route excluded due to poor data quality
620,Southwest,47300,
640,Southeast,91300,
701,Maple Ridge/Pitt Meadows,124900,
719,Maple Ridge/Pitt Meadows,900,
722,Maple Ridge/Pitt Meadows,900,
733,Maple Ridge/Pitt Meadows,5700,
741,Maple Ridge/Pitt Meadows,3500,
743,Maple Ridge/Pitt Meadows,5300,
744,Maple Ridge/Pitt Meadows,7300,
745,Maple Ridge/Pitt Meadows,9900,
746,Maple Ridge/Pitt Meadows,7200,
748,Maple Ridge/Pitt Meadows,1300,
749,Maple Ridge/Pitt Meadows,1500,
791,Maple Ridge/Pitt Meadows,50300,
R1,Southeast,457500,
R2,North Shore,190200,
R3,Maple Ridge/Pitt Meadows,77000,
R4,Vancouver/UBC,674900,
R5,Burnaby/New Westminster,354600,
