Route,Subregion,TotalBoardingsFall,Note
2,Vancouver/UBC,583300,
3,Vancouver/UBC,693600,
4,Vancouver/UBC,417600,
5,Vancouver/UBC,427300,
6,Vancouver/UBC,364700,
7,Vancouver/UBC,589700,
8,Vancouver/UBC,597200,
9,Vancouver/UBC,806500,
10,Vancouver/UBC,532800,
14,Vancouver/UBC,619000,
15,Vancouver/UBC,177500,
16,Vancouver/UBC,976000,
17,Vancouver/UBC,398900,
19,Vancouver/UBC,777100,
20,Vancouver/UBC,879300,
22,Vancouver/UBC,483600,
23,Vancouver/UBC,202800,
25,Vancouver/UBC,1253200,
26,Vancouver/UBC,204900,
27,Vancouver/UBC,192700,
28,Burnaby/New Westminster,281300,
29,Vancouver/UBC,97800,
31,Vancouver/UBC,26100,
33,Vancouver/UBC,394700,
41,Vancouver/UBC,303500,
44,Vancouver/UBC,159300,
49,Vancouver/UBC,1628000,
50,Vancouver/UBC,181500,
68,Vancouver/UBC,111600,
84,Vancouver/UBC,412800,
99,Vancouver/UBC,2128900,
100,Vancouver/UBC,582800,
101,Burnaby/New Westminster,158200,
103,Burnaby/New Westminster,75900,
104,Southeast,167700,
105,Burnaby/New Westminster,45400,
106,Burnaby/New Westminster,530400,
109,Burnaby/New Westminster,18800,
110,Burnaby/New Westminster,160700,
112,Burnaby/New Westminster,187100,
116,Burnaby/New Westminster,216300,
119,Burnaby/New Westminster,365400,
123,Burnaby/New Westminster,380700,
128,Burnaby/New Westminster,125400,
129,Burnaby/New Westminster,168900,
130,Burnaby/New Westminster,538800,
131,Burnaby/New Westminster,5300,
132,Burnaby/New Westminster,5100,
133,Burnaby/New Westminster,110600,
134,Burnaby/New Westminster,65800,
136,Burnaby/New Westminster,73500,
143,Northeast Sector,92000,
144,Burnaby/New Westminster,248800,
145,Burnaby/New Westminster,332200,
146,Burnaby/New Westminster,18600,
147,Burnaby/New Westminster,67700,
148,Burnaby/New Westminster,49300,
151,Northeast Sector,62600,
152,Northeast Sector,140100,
153,Northeast Sector,117600,
155,Burnaby/New Westminster,107700,
156,Northeast Sector,111700,
157,Northeast Sector,65600,
159,Northeast Sector,127700,
160,Northeast Sector,205800,
169,Northeast Sector,52700,
170,Northeast Sector,17600,
171,Northeast Sector,37800,
172,Northeast Sector,46300,
173,Northeast Sector,34000,
174,Northeast Sector,25100,
175,Northeast Sector,14700,
180,Northeast Sector,116200,
181,Northeast Sector,8300,
182,Northeast Sector,13500,
183,Northeast Sector,76400,
184,Northeast Sector,15200,
185,Northeast Sector,19900,
186,Northeast Sector,37000,
187,Northeast Sector,43600,
188,Northeast Sector,105300,
189,Northeast Sector,14600,
191,Northeast Sector,36400,
209,North Shore,20900,
210,North Shore,143900,
211,North Shore,89100,
212,North Shore,47000,
214,North Shore,0,Route excluded due to poor data quality
215,North Shore,40900,
222,North Shore,144800,
227,North Shore,17800,
228,North Shore,91300,
229,North Shore,127400,
230,North Shore,108200,
231,North Shore,2200,
232,North Shore,113400,
236,North Shore,67100,
240,North Shore,532000,
241,North Shore,40000,
245,North Shore,106500,
246,North Shore,118000,
247,North Shore,7900,
249,North Shore,50000,
250,North Shore,386700,
251,North Shore,13800,
252,North Shore,9500,
253,North Shore,51300,
254,North Shore,32300,
255,North Shore,179500,
256,North Shore,18600,
257,North Shore,191700,
262,North Shore,5600,
280,North Shore,0,Route excluded due to poor data quality
281,North Shore,0,Route excluded due to poor data quality
282,North Shore,0,Route excluded due to poor data quality
301,Southwest,230400,
310,Southeast,60500,
311,Southeast,27000,
312,Southeast,135600,
314,Southeast,72600,
316,Southeast,107200,
319,Southeast,1105400,
320,Southeast,308700,
321,Southeast,465300,
322,Southeast,78200,
323,Southeast,512100,
324,Southeast,202500,
325,Southeast,173100,
326,Southeast,63600,
329,Southeast,24900,
335,Southeast,480000,
337,Southeast,112600,
340,Southeast,174000,
341,Southeast,127000,
342,Southeast,201800,
345,Southeast,139300,
350,Southeast,29200,
351,Southeast,193000,
352,Southeast,15100,
354,Southeast,17100,
360,Southeast,10200,
361,Southeast,13400,
362,Southeast,8600,
363,Southeast,26900,
364,Southeast,226600,
370,Southeast,0,Route excluded due to poor data quality
371,Southeast,30700,
372,Southeast,0,Route excluded due to poor data quality
373,Southeast,73700,
375,Southeast,132900,
388,Southeast,62700,
391,Southeast,11600,
393,Southeast,20200,
394,Southeast,36100,
395,Southeast,19400,
401,Southwest,194400,
402,Southwest,125200,
403,Southwest,265800,
404,Southwest,62600,
405,Southwest,99700,
406,Southwest,220400,
407,Southwest,178200,
408,Southwest,201000,
410,Southwest,576000,
412,Southwest,13700,
413,Southwest,16400,
414,Southwest,7200,
416,Southwest,8400,
418,Southwest,49800,
430,Southwest,346700,
501,Southeast,270700,
502,Southeast,281700,
503,Southeast,355100,
509,Southeast,13700,
531,Southeast,131800,
555,Southeast,166800,
560,Southeast,0,Route excluded due to poor data quality
561,Southeast,0,Route excluded due to poor data quality
562,Southeast,0,Route excluded due to poor data quality
563,Southeast,0,Route excluded due to poor data quality
564,Southeast,0,Route excluded due to poor data quality
595,Southeast,80500,
601,Southwest,190000,
602,Southwest,10500,
603,Southwest,0,Route excluded due to poor data quality
604,Southwest,0,Route excluded due to poor data quality
606,Southwest,0,Route excluded due to poor data quality
608,Southwest,0,Route excluded due to poor data quality
609,Southwest,3400,
614,Southwest,0,Route excluded due to poor data quality
616,Southwest,3900,
618,Southwest,0,Route excluded due to poor data quality
619,Southwest,0,Route excluded due to poor data quality
620,Southwest,104900,
640,Southeast,182600,
701,Maple Ridge/Pitt Meadows,216500,
719,Maple Ridge/Pitt Meadows,1400,
722,Maple Ridge/Pitt Meadows,2100,
733,Maple Ridge/Pitt Meadows,8600,
741,Maple Ridge/Pitt Meadows,8600,
743,Maple Ridge/Pitt Meadows,7600,
744,Maple Ridge/Pitt Meadows,11700,
745,Maple Ridge/Pitt Meadows,20500,
746,Maple Ridge/Pitt Meadows,12200,
748,Maple Ridge/Pitt Meadows,2500,
749,Maple Ridge/Pitt Meadows,3000,
791,Maple Ridge/Pitt Meadows,93800,
R1,Southeast,842300,
R2,North Shore,339200,
R3,Maple Ridge/Pitt Meadows,154200,
R4,Vancouver/UBC,1608900,
R5,Burnaby/New Westminster,910300,
